DENOMINATION;Code;INF4;HYD3;ENS4
DEFORMATION;BAA;15;0;0
DEFORMATION VERTICALE / REDUCTION VERTICALE DE LA SECTION;BAAA;5;0;0
DEFORMATION HORIZONTALE;BAAB;15;0;0
MICRO-FISSURE;BABA;5;0;0
FISSURE FERMEE;BABB;5;0;0
FISSURE FERMEE LONGITUDINALE;BABBA;1;0;0
FISSURE FERMEE CIRCONFERENTIELLE;BABBB;1;0;0
FISSURE - FERMEE - COMPLEXE ;BABBC;1;0;0
FISSURE FERMEE HELICOIDALE;BABBD;1;0;0
FISSURE OUVERTE;BABC;9;0;0
FISSURE - OUVERTE - LONGITUDINALE;BABCA;9;0;0
FISSURE OUVERTE CIRCONFERENTIELLE;BABCB;9;0;0
FISSURE - OUVERTE - COMPLEXE;BABCC;9;0;0
FISSURE OUVERTE HELICOIDALE;BABCD;9;0;0
RUPTURE / EFFONDREMENT - RUPTURE;BACA;45;5;5
EFFONDREMENT PARTIEL;BACB;135;5;5
EFFONDREMENT TOTAL;BACC;135;135;135
MACONNERIE;BAD;0;5;5
MACONNERIE DEPLACEE;BADA;15;5;5
PIECES DE MAÇONNERIE MANQUANTES;BADB;45;0;0
PIECES MANQUANTES -AUTRE COUCHE VISIBLE ;BADBA;45;0;0
PIECES MANQUANTES - RIEN DE VISIBLE;BADBB;45;0;0
AFFAISSEMENT DE RADIER;BADC;45;5;5
EFFONDREMENT;BADD;135;135;135
MORTIER;BAE;15;0;0
DEGRADATION DE SURFACE - RUGOSITE ACCRUE;BAFA;5;3;15
DEGRADATION DE SURFACE - RUGOSITE ACCRUE - ABRASION;BAFAA;1;15;15
DEGRADATION DE SURFACE - RUGOSITE ACCRUE - ATTAQUE CHIMIQUE - GENERALE;BAFAB;1;15;15
DEGRADATION DE SURFACE - RUGOSITE ACCRUE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFAC;1;15;15
DEGRADATION DE SURFACE - RUGOSITE ACCRUE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFAD;1;15;15
DEGRADATION DE SURFACE - RUGOSITE ACCRUE - AUCUNE CAUSE EVIDENTE;BAFAE;1;15;15
DEGRADATION DE SURFACE - ECAILLAGE CORROSION;BAFB;9;1;3
DEGRADATION DE SURFACE - ECAILLAGE - ABRASION;BAFBA;9;15;15
DEGRADATION DE SURFACE - ECAILLAGE - ATTAQUE CHIMIQUE - GENERALE;BAFBB;9;15;15
DEGRADATION DE SURFACE - ECAILLAGE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFBC;9;15;15
DEGRADATION DE SURFACE - ECAILLAGE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFBD;9;15;15
DEGRADATION DE SURFACE - ECAILLAGE - AUCUNE CAUSE EVIDENTE;BAFBE;9;15;15
 DEGRADATION DE SURFACE - GRANULATS EXPOSES;BAFC;5;3;15
DEGRADATION DE SURFACE - GRANULATS EXPOSES - ABRASION;BAFCA;1;15;15
DEGRADATION DE SURFACE - GRANULATS EXPOSES - ATTAQUE CHIMIQUE - GENERALE;BAFCB;1;15;15
DEGRADATION DE SURFACE - GRANULATS EXPOSES - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFCC;1;15;15
DEGRADATION DE SURFACE - GRANULATS EXPOSES - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFCD;1;15;15
DEGRADATION DE SURFACE - GRANULATS EXPOSES - AUCUNE CAUSE EVIDENTE;BAFCE;1;15;15
DEGRADATION DE SURFACE - GRANULATS DECHAUSSES;BAFD;5;3;15
DEGRADATION DE SURFACE - GRANULATS DECHAUSSES - ABRASION;BAFDA;1;15;15
DEGRADATION DE SURFACE - GRANULATS DECHAUSSES - ATTAQUE CHIMIQUE - GENERALE;BAFDB;1;15;15
DEGRADATION DE SURFACE - GRANULATS DECHAUSSES - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFDC;1;15;15
DEGRADATION DE SURFACE - GRANULATS DECHAUSSES - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFDD;1;15;15
DEGRADATION DE SURFACE - GRANULATS DECHAUSSES - AUCUNE CAUSE EVIDENTE;BAFDE;1;15;15
DEGRADATION DE SURFACE - GRANULATS MANQUANTS;BAFE;5;3;15
DEGRADATION DE SURFACE - GRANULATS MANQUANTS - ABRASION;BAFEA;1;15;15
DEGRADATION DE SURFACE - GRANULATS MANQUANTS - ATTAQUE CHIMIQUE - GENERALE;BAFEB;1;15;15
DEGRADATION DE SURFACE - GRANULATS MANQUANTS - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFEC;1;15;15
DEGRADATION DE SURFACE - GRANULATS MANQUANTS - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFED;1;15;15
DEGRADATION DE SURFACE - GRANULATS MANQUANTS - AUCUNE CAUSE EVIDENTE;BAFEE;1;15;15
DEGRADATION DE SURFACE - ARMATURE VISIBLE;BAFF;5;3;15
DEGRADATION DE SURFACE - ARMATURE VISIBLE - ABRASION;BAFFA;1;15;15
DEGRADATION DE SURFACE - ARMATURE VISIBLE - ATTAQUE CHIMIQUE - GENERALE;BAFFB;1;15;15
DEGRADATION DE SURFACE - ARMATURE VISIBLE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFFC;1;15;15
DEGRADATION DE SURFACE - ARMATURE VISIBLE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFFD;1;15;15
DEGRADATION DE SURFACE - ARMATURE VISIBLE - AUCUNE CAUSE EVIDENTE;BAFFE;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE;BAFG;5;3;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - ABRASION;BAFGA;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - ATTAQUE CHIMIQUE - GENERALE;BAFGB;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFGC;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFGD;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - AUCUNE CAUSE EVIDENTE;BAFGE;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE;BAFH;5;3;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ABRASION;BAFHA;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ATTAQUE CHIMIQUE - GENERALE;BAFHB;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFHC;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFHD;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - AUCUNE CAUSE EVIDENTE;BAFHE;1;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE;BAFI;27;5;5
DEGRADATIONS DE SURFACE - PAROI MANQUANTE - ABRASION;BAFIA;27;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE - ATTAQUE CHIMIQUE - GENERALE;BAFIB;27;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFIC;27;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFID;27;15;15
DEGRADATIONS DE SURFACE - PAROI MANQUANTE - AUCUNE CAUSE EVIDENTE;BAFIE;27;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE;BAFJ;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ABRASION;BAFJA;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ATTAQUE CHIMIQUE - GENERALE;BAFJB;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFJC;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFJD;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - AUCUNE CAUSE EVIDENTE;BAFJE;0;15;15
DEGRADATIONS DE SURFACE - POINCONNEMENT;BAFKA;0;15;15
