id_edge,score_EXF4,result_EXF4,score_INF4,result_INF4,score_ENS4,result_ENS4,score_HYD3,result_HYD3
"4310",1,0,1,0,1,0.213812539191823,1,0.213812539191823
"4311",1,0,1,0,1,0.142359716040801,1,0.142359716040801
"4312",1,0,1,0,1,0,1,0
"4313",2,1.63801778585056,2,1.63801778585056,1,0.409504446462639,1,0.409504446462639
"4314",1,0,1,0,2,1.43352253506064,2,1.43352253506064
"4315",3,2.16051535605407,3,2.16051535605407,1,0,1,0
"4316",,,,,,,,
"4317",1,0,1,0,1,0,1,0
"4318",1,0,1,0,1,0,1,0
"4319",,,,,,,,
"4320",1,0,1,0,1,0,1,0
"4321",1,0,1,0,1,0,1,0
"4322",,,,,,,,
"4323",2,1.3256862153484,2,1.3256862153484,1,0,1,0
"4324",1,0,1,0,1,0,1,0
"4325",,,,,,,,
"4326",2,1.18423747291426,2,1.18423747291426,1,0.148029684114282,1,0.148029684114282
"4327",1,0,1,0,1,0,1,0
"4328",1,0,1,0,1,0,1,0
"4329",1,0,1,0,1,0,1,0
"4330",,,,,,,,
"4331",1,0,1,0,1,0,1,0
"4332",2,0.543052266108109,2,0.543052266108109,2,1.22186759874325,2,1.22186759874325
"4333",3,2.39338224377173,3,2.39338224377173,1,0,1,0
"4334",,,,,,,,
"4335",,,,,,,,
"4336",2,0.818872679759626,2,0.818872679759626,1,0,1,0
"4337",1,0,1,0,1,0,1,0
"4338",,,,,,,,
"4339",1,0,1,0,1,0,1,0
"4340",1,0,1,0,1,0,1,0
"4341",,,,,,,,
"4342",,,,,,,,
"4343",1,0,1,0,1,0,1,0
"4344",,,,,,,,
"4345",3,2.18106420957718,3,2.18106420957718,1,0.136316513098573,1,0.136316513098573
